posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
1,-1_3,-2_4,-4	0.131673418	-0.123292141	0.983340987	0.136767485	-0.125808744	0.982445952	0.002633995	16	0.139211205	-0.128056656	2	17	0x04C315
1,-1_3,-2_5,-2	0.17155456	-0.07272925	0.982311371	0.168896128	-0.070636036	0.983007571	0.001266028	18	0.171815694	-0.071857062	4	6	0x58D62C
1,-1_3,-2_5,-3	0.171077713	-0.098003863	0.980115888	0.168499701	-0.097981863	0.980688187	0.005452341	15	0.171817814	-0.099911332	2	9	0x886BB7
1,-1_3,-2_5,-4	0.170555392	-0.122622388	0.977515617	0.167989088	-0.125194959	0.977715485	0.001238712	12	0.171817968	-0.128048457	4	10	0x01C92D
1,-1_3,-3_4,-4	0.131556755	-0.13147358	0.982222022	0.136567734	-0.13656784	0.980993249	0.005461617	16	0.139213735	-0.139213843	1	18	0xB2D808
1,-1_3,-3_4,-5	0.130739052	-0.170275992	0.976434008	0.135907536	-0.167737959	0.976284408	0.002568203	12	0.139208959	-0.171812596	2	14	0xC013DC
1,-1_3,-3_5,-4	0.170430152	-0.130682035	0.97641749	0.167741723	-0.135908796	0.976283685	0.002569286	12	0.171816579	-0.139210352	2	11	0x5D8DF5
1,-1_3,-3_5,-5	0.169469154	-0.169333172	0.970708703	0.166948301	-0.166936054	0.97164089	0.001208432	9	0.171820991	-0.171808387	4	2	0x1C5F5E
1,-2_1,-3_2,-4	0.0652262	-0.124266802	0.98984859	0.060001352	-0.126768219	0.989978384	0.002715381	24	0.060608749	-0.128051502	2	30	0xBBA8B9
1,-2_1,-3_2,-5	0.064993666	-0.163268949	0.984110496	0.059728539	-0.158186096	0.985422387	0.005560106	18	0.060612119	-0.160526184	1	31	0xA6F4DA
1,-2_1,-4_2,-5	0.064743473	-0.171320149	0.982832556	0.0596194	-0.169008788	0.983673886	0.002646469	18	0.060608908	-0.171813841	2	32	0xC928A6
1,-2_1,-4_2,-6	0.064398227	-0.195556272	0.978246412	0.059318992	-0.195575203	0.978719512	0.01127523	12	0.060608776	-0.199827632	1	20	0x46269E
1,-2_1,-4_2,-7	0.064127791	-0.219412931	0.97327471	0.058985739	-0.221883568	0.973153679	0.0025338	6	0.060612974	-0.228004654	2	14	0xC013DC
1,-2_1,-5_2,-7	0.064098337	-0.227203029	0.971417319	0.058834152	-0.232129787	0.97072916	0.00523543	6	0.060608205	-0.239129303	1	15	0x746209
